Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
103,positive regulation of intrinsic apoptotic signaling pathway (GO:2001244),0.0007243190568082219,58.30994152046784,421.5971209696659,"['BCL2', 'TP53']",0.004547667624379081,0,0
104,stem cell differentiation (GO:0048863),0.0007243190568082219,58.30994152046784,421.5971209696659,"['KIT', 'TP53']",0.004547667624379081,0,0
105,positive regulation of cellular biosynthetic process (GO:0031328),0.0007301301231801276,19.743768693918245,142.59517954248318,"['PDGFRB', 'ERBB2', 'EGFR']",0.004547667624379081,0,0
106,myofibril assembly (GO:0030239),0.0008370330222898128,54.03523035230352,382.87456973669936,"['PDGFRB', 'PDGFRA']",0.0051643358167692225,0,0
107,regulation of receptor signaling pathway via JAK-STAT (GO:0046425),0.0009165786855226654,51.51679586563308,360.3529107334306,"['ERBB4', 'KIT']",0.005499472113135992,0,0
108,positive regulation of chemotaxis (GO:0050921),0.0009165786855226654,51.51679586563308,360.3529107334306,"['PDGFRB', 'VEGFA']",0.005499472113135992,0,0
109,positive regulation of RNA metabolic process (GO:0051254),0.0009165786855226654,51.51679586563308,360.3529107334306,"['TP53', 'EGFR']",0.005499472113135992,0,0
110,erythrocyte differentiation (GO:0030218),0.0009576675617417909,50.343434343434346,349.9377081556704,"['KIT', 'VEGFA']",0.005642473742154336,0,0
111,regulation of fibroblast proliferation (GO:0048145),0.0009576675617417909,50.343434343434346,349.9377081556704,"['PDGFRA', 'TP53']",0.005642473742154336,0,0
112,epidermal growth factor receptor signaling pathway (GO:0007173),0.0009996316450557327,49.22222222222222,340.0331999878986,"['BRAF', 'EGFR']",0.005837134784521868,0,0
113,positive regulation of DNA repair (GO:0045739),0.00104246932126757,48.14975845410628,330.6040915341501,"['MGMT', 'EGFR']",0.006033406514238855,0,0
114,positive regulation of reactive oxygen species metabolic process (GO:2000379),0.00108617897822587,47.12293144208038,321.61821357029646,"['PDGFRB', 'TP53']",0.006231237296137886,0,0
115,inositol lipid-mediated signaling (GO:0048017),0.0011762077962531588,45.19501133786848,304.8611297728522,"['PDGFRB', 'PDGFRA']",0.006631378437496257,0,0
116,intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630),0.0011762077962531588,45.19501133786848,304.8611297728522,"['BCL2', 'TP53']",0.006631378437496257,0,0
117,cellular response to cytokine stimulus (GO:0071345),0.0011876534829160321,10.19979079497908,68.70350381457375,"['KIT', 'BCL2', 'TP53', 'VEGFA']",0.006638678442966538,0,0
118,regulation of intrinsic apoptotic signaling pathway (GO:2001242),0.0012225237433500786,44.28888888888889,297.0383992061624,"['BCL2', 'TP53']",0.0067756824419572155,0,0
119,negative regulation of cysteine-type endopeptidase activity (GO:2000117),0.001269705243146536,43.41830065359477,289.55536610866125,"['RAF1', 'VEGFA']",0.00697804394132634,0,0
120,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154),0.001366658495614331,41.77568134171908,275.5267677897696,"['RAF1', 'VEGFA']",0.0074482888010981045,0,0
121,positive regulation of establishment of protein localization to mitochondrion (GO:1903749),0.0014164270510532773,41.0,268.9443273175631,"['BCL2', 'TP53']",0.007655729680899532,0,0
