Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value,Library
3,positive regulation of MAPK cascade (GO:0043410),1.223974218609636e-10,49.40852130325815,1127.6876298559696,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'EGFR', 'VEGFA']",2.6682637965690062e-08,0,0,GO_Biological_Process_2021
1,Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530,1.0731023046678136e-10,118.5,2720.202709468789,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",2.6720247386228558e-08,0,0,Reactome_2022
16,Breast cancer,5.06564377006127e-09,60.30091185410334,1151.7947288484427,"['KIT', 'ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",3.894213648234601e-08,0,0,KEGG_2021_Human
17,Gastric cancer,5.494587756902592e-09,59.451548451548454,1130.7388609311902,"['ERBB2', 'BCL2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",3.9754958476412875e-08,0,0,KEGG_2021_Human
4,"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558",7.008266832742762e-10,85.2,1795.9103947348515,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",4.3626461033823694e-08,0,0,Reactome_2022
3,PI3K/AKT Signaling In Cancer R-HSA-2219528,6.615547648778985e-10,86.06493506493507,1819.105333177958,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",4.3626461033823694e-08,0,0,Reactome_2022
2,TFAP2 (AP-2) Family Regulates Transcription Of Growth Factors And Their Receptors R-HSA-8866910,5.166823063302325e-10,554.75,11862.548175046626,"['ERBB2', 'KIT', 'EGFR', 'VEGFA']",4.3626461033823694e-08,0,0,Reactome_2022
5,regulation of kinase activity (GO:0043549),3.3692044189210716e-10,96.87662337662337,2112.9929171831873,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",4.406919379948762e-08,0,0,GO_Biological_Process_2021
4,MAPK cascade (GO:0000165),2.7217286720263085e-10,44.48587570621469,979.7828934182909,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'RAF1', 'EGFR']",4.406919379948762e-08,0,0,GO_Biological_Process_2021
5,Negative Regulation Of PI3K/AKT Network R-HSA-199418,1.033613265567349e-09,79.59813084112149,1646.9016565517954,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",5.1473940625253975e-08,0,0,Reactome_2022
10,Endometrial cancer,1.4676884193687116e-09,141.36879432624113,2875.381502712512,"['ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",5.195617004565239e-08,0,0,BioPlanet_2019
18,Non-small cell lung cancer,7.803221682008072e-09,99.06965174129353,1849.5044955780215,"['ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",5.3322014827055156e-08,0,0,KEGG_2021_Human
11,Non-small cell lung cancer,1.7837089378996073e-09,135.58503401360545,2731.3023398180844,"['ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",5.740299672876918e-08,0,0,BioPlanet_2019
6,regulation of cell population proliferation (GO:0042127),8.14844611020163e-10,25.49867374005305,533.6368478962873,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BCL2', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",8.705492715517517e-08,0,0,GO_Biological_Process_2021
7,positive regulation of intracellular signal transduction (GO:1902533),1.0134140298788316e-09,29.623666835957337,613.5043917429264,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BCL2', 'TP53', 'EGFR', 'VEGFA']",8.705492715517517e-08,0,0,GO_Biological_Process_2021
8,positive regulation of kinase activity (GO:0033674),1.0903803604019397e-09,78.85714285714286,1627.354294912486,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",8.705492715517517e-08,0,0,GO_Biological_Process_2021
9,regulation of cellular component movement (GO:0051270),1.1980035847042454e-09,147.66666666666666,3033.4586466141805,"['ERBB4', 'ERBB2', 'RAF1', 'EGFR', 'VEGFA']",8.705492715517517e-08,0,0,GO_Biological_Process_2021
19,ErbB signaling pathway,1.8145607643255603e-08,82.91666666666667,1477.97609350885,"['ERBB4', 'ERBB2', 'BRAF', 'RAF1', 'EGFR']",1.1746893369054943e-07,0,0,KEGG_2021_Human
